Reptile,Synonym,Synonym2,Synonym3,Synonym4,Synonym5,Synonym6,Synonym7,Synonym8,Synonym9,Synonym10,Synonym11,Synonym12,Synonym13,Synonym14,Synonym15,Synonym16,Synonym17,Synonym18,Synonym19,Synonym20,Synonym21,Synonym22,Synonym23,Synonym24,Synonym25,Synonym26,Synonym27,Synonym28,Synonym29,Synonym30,Synonym31,Synonym32,Synonym33,Synonym34,Synonym35,Synonym36,Synonym37,Synonym38,Synonym39,Synonym40
bearded dragon,Antiguan Racer,Alsophis leucomelas antiguae,,,,,,,,,,,,,,,,,,,,,,Antigua-Schlanknatter,a. antiguae,,,,,,,,,,,,,,,
crested gecko,Guadeloupe Racer,Antilles Racer,Leeward Racer,Psammophis antillensis,Dromicus leucomelas,Dromicus Antillensis,Dromicus antillensis,Alsophis leucomelas leucomelas,,,,,,,,,,,,,,,,Antillen-Schlanknatter,Couleuvre de la Guadeloupe,a. antillensis,,,,,,,,,,,,,,
Alsophis manselli,Montserrat Racer,Alsophis leucomelas manselli,Alsophis antillensis manselli,,,,,,,,,,,,,,,,,,,,,a. manselli,,,,,,,,,,,,,,,,
Alsophis rijgersmaei,Anguilla Bank Racer,Anguilla Racer,Leeward Islands Racer,Alsophis cinereus,Alsophis rigersmaei,Alsophis rijersmai,Leeward island racer,Couresse du Banc d'Anguilla,,,,,,,,,,,,,,,,a. rjigersmaei,,,,,,,,,,,,,,,,
Alsophis rufiventris,Red-bellied Racer,Saba Racer,Orange bellied racer,Dromicus rufiventris,Orange-bellied racer,Couresse à ventre rouge,Red bellied racer,,,,,,,,,,,,,,,,,a. rufiventris,,,,,,,,,,,,,,,,
bearded dragon,Terre-De-Haut Racer,Terre De Haut Racer,Alsophis sanctonum sanctonum,Alsophis antillensis sanctonum,,,,,,,,,,,,,,,,,,,,Couresse des Saintes,a. sanctonum,,,,,,,,,,,,,,,
Alsophis sibonius,Dominica Racer,Dominican Racer,Alsophis antillensis sibonius,,,,,,,,,,,,,,,,,,,,,a. sibonius,,,,,,,,,,,,,,,,
Ameiva tobagana,Antillean Ameiva,Antillen-Ameive,Antillen Ameive,Ameiva surinamensis tobaganus,Ameiva surinamensis aquilina,Ameiva aquilina,Ameiva ameiva tobagana,,,,,,,,,,,,,,,,,a. tobagana,,,,,,,,,,,,,,,,
Amerotyphlops tasymicris,Grenada Bank Blindsnake,Grenada Worm Snake,Typhlops tasymicris,,,,,,,,,,,,,,,,,,,,,a. tasymicris,,,,,,,,,,,,,,,,
Anolis aeneus,Grenada Bush Anole,Bronze Anole,Anolis gentilis,Anolis roquet cinereus,Anolis cepedii cinereus,Anolis roquet aeneus,Anolis cepedii gentilis,Dactyloa aenea,Naʼashǫ́ʼii chį́į́shkį́hí dibéłchíʼígíí,褐色安乐蜥,褐色安樂蜥,,,,,,,,,,,,,آنول برنزی,A. aeneus,,,,,,,,,,,,,,,
Anolis bimaculatus,Statia Bank Tree Anole,Panther Anole,Lacerta bimaculata,Xiphosurus bimaculata,Ctenonotus bimaculatus,Ctenodon bimaculatum,Anolis antiquae,Anolis barbudensis,Anolis bimaculatus bimaculatus,Anolis antiguae,Naʼashǫ́ʼii chį́į́shkį́hí łibá dóó dootłʼizhígíí,St Eustatius anole,Saint Eustatius anole,,,,,,,,,,,A. bimaculatus,,,,,,,,,,,,,,,,
Anolis chrysops ,Petite Terre Anole,Anolis marmoratus chrysops,Ctenonotus marmoratus chrysops,Ctenonotus chrysops,,,,,,,,,,,,,,,,,,,,A. chrysops,,,,,,,,,,,,,,,,
Anolis cristatellus,Puerto Rican Crested Anole,Lagartija Crestada,Common Puerto Rican anole,Crested anole,Ptychonotus Istiocercus cristatellus,Xiphosurus cristatellus,Anolis lindeni,Anolis cozumelae,Ctenonotus cristatellus,Anolis cristatellus wileyae,Anolis cristatellus wileyi,Ctenonotus cristatellus wileyae,Puerto Ricó-i tarajos anolisz,Naʼashǫ́ʼii chį́į́shkį́hí binághahgoʼ hólónígíí,Гребенчатый анолис,,,,,,,,,Anolis cristatelles,Kamanolis,lagartijo común,anolis crestado,abaniquillo crestado,A. cristatellus,,,,,,,,,,,
Anolis desiradei,La Desirade Anole,Anolis marmoratus desiradei,Ctenonotus marmoratus desiradei,Ctenonotus desiradei,,,,,,,,,,,,,,,,,,,,A. desiradei,,,,,,,,,,,,,,,,
Anolis extremus,Barbados Anole,Lagartija de barbados,Anolis roquet extremus,Dactyloa extrema,Barbadosi anolisz,Naʼashǫ́ʼii chį́į́shkį́hí binákʼee halzhinígíí,,,,,,,,,,,,,,,,,,A. extremus,,,,,,,,,,,,,,,,
Anolis ferreus,Marie-Galante Anole,Marie Galante Anole,Morne Constant Anole,Xiphosurus ferreus,Anolis asper,Anolis marmoratus ferreus,Ctenonotus ferreus,,,,,,,,,,,,,,,,,Marie Gallant sail-tailed anole,A. ferreus,,,,,,,,,,,,,,,
Anolis forresti,Barbuda bush anole,Anolis wattsi forresti,Ctenonotus forresti,,,,,,,,,,,,,,,,,,,,,A. forresti,,,,,,,,,,,,,,,,
Anolis gingivinus,Anguilla Bank Tree Anole,Anguilla bank anole,Anguilla Anole,Anolis virgatus,Anolis bimaculatus gingivinus,Ctenonotus gingivinus,Tsin bąąh naʼashǫ́ʼii chį́į́shkį́hí niłhinígíí,,,,,,,,,,,,,,,,,A. gingivinus,,,,,,,,,,,,,,,,
Anolis griseus,Saint Vincent Tree Anole,St Vincent Tree Anole,Saint Vincent’s tree anole,Anolis richardii griseus,Dactyloa grisea,Dactyloa griseus,,,,,,,,,,,,,,,,,,St Vincent’s tree anole,A. griseus,,,,,,,,,,,,,,,
Anolis kahouannensis,Kahouanne Anole,Anolis marmoratus kahouannensis,Ctenonotus kahouannensis,,,,,,,,,,,,,,,,,,,,,A. kahouannensis,,,,,,,,,,,,,,,,
Anolis leachii,Antigua Bank Tree Anole,Barbuda Bank tree anole,Anolis bimaculatus leachii,Anolis bimaculatus leachi,Ctenonotus bimaculatus leachi,Anolis leachi,Ctenonotus leachii,Ctenonotus leachi,,,,,,,,,,,,,,,,Leach's anole,Leachs anole,آنول لیچ,A. leachii,,,,,,,,,,,,,
Anolis lividus,Plymouth Anole,Montserrat Anole,Anolis bimaculatus lividus,Ctenonotus lividus,Naʼashǫ́ʼii chį́į́shkį́hí bitsiiyah halchíʼígíí,,,,,,,,,,,,,,,,,,,A. lividus,,,,,,,,,,,,,,,,
Anolis luciae,Saint Lucia Anole,Saint Lucian anole,St Lucia Anole,Anolis bimaculatus luciae,Anolis trinitatis procuratoris,Dactyloa luciae,Saint Lucia tree lizard,St Lucia tree lizard,,,,,,,,,,,,,,,,St Lucian Anole,A. luciae,,,,,,,,,,,,,,,
Anolis marmoratus,Guadeloupe Anole,Guadeloupean anole,Leopard Anole,Anolis speciosus,Ctenonotus marmoratus,Anolis marmoratus alliaceus,Anolis alliaceus,Anolis bimaculatus alliaceus,Ctenonotus marmoratus alliaceus,Anolis marmoratus caryae,Ctenonotus marmoratus caryae,Anolis caryae,Anolis marmoratus girafus,Ctenonotus marmoratus girafus,Anolis marmoratus inornatus,Ctenonotus marmoratus inornatus,Anolis marmoratus setosus,Ctenonotus marmoratus setosus,Anolis marmoratus speciosus,Naʼashǫ́ʼii chį́į́shkį́hí bikeeʼ łitsooígíí,Marmeranolis,,,آنول پلنگی,A. marmoratus,,,,,,,,,,,,,,,
Anolis nubilus,Redonda Anole,Anolis nubilis,Ctenonotus nubilus,Ctenonotus nubilis,,,,,,,,,,,,,,,,,,,,A. nubilus,,,,,,,,,,,,,,,,
Anolis oculatus,Dominica Anole,Dominican anole,Eyed Anole,Xiphosurus oculatus,Ctenonotus oculatus,Anolis oculatus cabritensis,Ctenonotus oculatus cabritensis,Anolis oculatus montanus,Ctenonotus oculatus montanus,Anolis oculatus winstonorum,Anolis oculatus winstoni,Ctenonotus oculatus winstonorum,Ctenonotus oculatus winstoni,anolis o. winstoni,,,,,,,,,,آنول دومینیکن,A. oculatus,,,,,,,,,,,,,,,
Anolis pogus,Anguilla Bank Bush Anole,Anolis wattsi pogus,Ctenonotus pogus,Haʼaʼaahjí Tónteeldę́ę́ʼ hodíłchʼiltah naʼashǫ́ʼii chį́į́shkį́hí,,,,,,,,,,,,,,,,,,,,A. pogus,,,,,,,,,,,,,,,,
Anolis richardii,Grenada Tree Anole,Anolis occipitalis,Anolis stenodactylus,Ptychonotus richardii,Anolis trossulus,Anolis richardii richardii,Anolis richardi,Dactyloa richardii,Grenadai anolisz,Grenada anolisz,Richard’s anole,Grenada anole,Tsintah naʼashǫ́ʼii chį́į́shkį́hí,,,,,,,,,,,Richards anole,آنول درختی گرنادا,A. richardii,,,,,,,,,,,,,,
Anolis roquet,Martinique Anole,Martinique’s anole,Savannah Anole,Lacerta roquet,Ptychonotus fasciatus,Dactyloa roquet,Anolis roquet roquet,Anolis martinicensis,Anolis cepedii,Anolis goudotii,Anolis alligator,Dactyloa goudotii,Dactyloa roquet roquet,Anolis roquet caracoli,Dactyloa roquet cracoli,Anolis roquet majolgris,Dactyloa roquet majogris,Anolis roquet salinei,Dactyloa roquet salinei,Tsinyiʼ naʼashǫ́ʼii chį́į́shkį́hí,roquet summus,,,A. roquet,,,,,,,,,,,,,,,,
Anolis sabanus,Saba Anole,Saban Anole,Anolis bimaculatus sabanus,Anolis sabanis,Ctenonotus sabanus,Pantheranolis,Naʼashǫ́ʼii chį́į́shkį́hí łikizhígíí,,,,,,,,,,,,,,,,,A. sabanus,,,,,,,,,,,,,,,,
Anolis schwartzi,Saint Kitts Bank Bush Anole,Schwartz’s Anole,Schwartz Anole,Anolis wattsi schwartzi,Ctenonotus schwartzi,Statia bank Bush Anole,St Kitts Bank Bush Anole,,,,,,,,,,,,,,,,,A. schwartzi,,,,,,,,,,,,,,,,
Anolis terraealtae,Les Saintes Anole,Les Saines Anole,Anolis terrae altae,Anolis speciosus terraealtae,Anolis marmoratus terraealtae,Ctenonotus marmoratus terraealtae,Ctenonotus terraealtae,,,,,,,,,,,,,,,,,L’Anolis des Saintes,A. terraealtae,,,,,,,,,,,,,,,
Anolis trinitatis,Saint Vincent Bush Anole,Saint Vincent’s bush anole,Trinidad Anole,Anolis vincenti,Anolis trinitatis trinitatis,Anolis trinitatis vincentii,Dactyloa trinitatis,St Vincent Bush Anole,Naʼashǫ́ʼii chį́į́shkį́hí binákʼee diłhiłígíí,,,,,,,,,,,,,,,St Vincent’s bush anole,A. trinitatis,,,,,,,,,,,,,,,
Anolis wattsii,Watts’ Anole,Watts Anole,Anolis wattsi,Anolis alter,Ctenonotus wattsi,Ctenonotus wattsii,Antigua Bank Bush Anole,,,,,,,,,,,,,,,,,آنول واتس,A. wattsii,,,,,,,,,,,,,,,
Antillotyphlops annae,Saint Barts Blindsnake,Typhlops de Saint barthélmy,Typhlops annae,Typhlops de Saint-barthélmy,St Barts Blindsnake,,,,,,,,,,,,,,,,,,,Saint Barts Blind snake,St Barts Blindsnake,A. annae,T. annae,,,,,,,,,,,,,
Antillotyphlops dominicanus,Dominica Blindsnake,Dominican Worm Snake,Typhlops dominicanus,Typhlops cinereus,Typhlops dominicana,,,,,,,,,,,,,,,,,,,Dominican blind Snake,Dominica blind Snake,A. dominicanus,T. dominicanus,,,,,,,,,,,,,
Antillotyphlops geotomus,Leeward Blindsnake,Typhlops monastus geotomus,Typhlops geotomus,,,,,,,,,,,,,,,,,,,,,A. geotomus,T. geotomus,,,,,,,,,,,,,,,
Antillotyphlops guadeloupensis,Guadeloupe Blindsnake,Guadeloupe Worm Snake,Typhlops guadeloupensis,Typhlops dominicanus guadeloupensis,Guadeloupe blind snake,,,,,,,,,,,,,,,,,,,A. guadeloupensis,T. guadeloupensis,,,,,,,,,,,,,,,
Antillotyphlops monastus,Montserrat Blindsnake,Montiserrat Worm Snake,Typhlops monastus,Typhlops monastus monastus,,,,,,,,,,,,,,,,,,,,Montserrat Blind snake,ٹفلوپس موناسٹس,A. monastus,T. monastus,,,,,,,,,,,,,
Bachia alleni,Antillean Bachia,brachypus cuvieri,Chalcides Cuvieri,Chalcis brachypus cuvieri,Scolcecosaurus cuvieri,Scolecosaurus alleni,Scolecosaurus alleni parviceps,bachia cuvieri,bachia alleni alleni,bachia heteropa alleni,,,,,,,,,,,,,,B. alleni,,,,,,,,,,,,,,,,
Bachia heteropa,LaGuaira Bachia,wormlizard,lagartija lombriz,Chalcides heteropus,bachia heteropus,,,,,,,,,,,,,,,,,,,B. heteropa,,,,,,,,,,,,,,,,
Bachia trinitatis,Trinidad Bachia,Trinidad Worm lizard,Scolecosaurus trinitatis,bachia alleni trinitatis,bachia heteropa trinitatis,,,,,,,,,,,,,,,,,,,B. trinitatis,,,,,,,,,,,,,,,,
Boa nebulosa,Boa constrictor nebulosa,Dominican Boa Constrictor,Dominica-Boa,Constirctor constrictor nebulosus,Constrictor Nebulosa,Constrictor nebulosus,,,,,,,,,,,,,,,,,,B. nebulosa,,,,,,,,,,,,,,,,
Boa orophias,Saint Lucia Boa,Boa constrictor orophias,St Lucia Boa,Tet’chien,St Lucian Boa,Saint Lucian Boa,Lucia Boa Constrictor,Constrictor orophias,St Lucia Boa constrictor,,,,,,,,,,,,,,,B. orophias,,,,,,,,,,,,,,,,
Bothrops caribbaeus,Saint Lucia Lancehead,St Lucia Lancehead,St Lucia Viper,Saint Lucia Viper,Trigonocephalus caribbaeus,bothrops lanceolatus caribbeus,bothrops caribbaea,bothrops caribbeus,,,,,,,,,,,,,,,,Saint Lucia pit viper,St Lucia pit viper,بوتھروپس کیریبیس,B. caribbaeus,,,,,,,,,,,,,
Bothrops lanceolatus,Martinique Lancehead,Coluber lanceolatus,Lachesis lanceolatus,Coluber megaera,bothrops lanceolata,Trigonocéphale,Фер-де-ланс жыланы,بوتھروپس لانسلیولاٹس,Мартиникский ботропс,Ботропс мартинікський,Fer de lance de la Martinique,Trigonocephale,,,,,,,,,,,,,Martinican pit viper,víbora cabeza de lanza,víbora de Martinica,cabeza de lanza de Martinica,bèt-long,بوتھروپس لانسلیولاٹس,B. lanceolatus,,,,,,,,,
Capitellum mariagalantae,Marie-Galante Skink,Marie Galante Skink,,,,,,,,,,,,,,,,,,,,,,C. mariagalantae,,,,,,,,,,,,,,,,
Capitellum metallicum,Lesser Martinique Skink,Mabuya metallica,,,,,,,,,,,,,,,,,,,,,,Scinque métallique,Petit scinque de la Martinique,C. metallicum,,,,,,,,,,,,,,
